Period,Start_Date,End_Date,MMWR_Year,MMWR_Month,Month_Order,Month,Influenza_Season,Race_Eth,Race_Eth_Order,Vaccinated,Denom,Point_Estimate,Coverage,Current_Through
Aug  1 201 - Mar 31 202,08/01/2019 12:00:00 AM,03/31/2020 12:00:00 AM,2020,3,8,2021-03-31,2019-2020,Overall,1,116870,178427,0.655,0.655,
Aug  1 201 - Mar 31 202,08/01/2019 12:00:00 AM,03/31/2020 12:00:00 AM,2020,3,8,2021-03-31,2019-2020,"White, Non-Hispanic",2,39844,60898,0.6543,0.6543,
Aug  1 201 - Mar 31 202,08/01/2019 12:00:00 AM,03/31/2020 12:00:00 AM,2020,3,8,2021-03-31,2019-2020,"Black, Non-Hispanic",3,6193,14249,0.4346,0.4346,
Aug  1 201 - Mar 31 202,08/01/2019 12:00:00 AM,03/31/2020 12:00:00 AM,2020,3,8,2021-03-31,2019-2020,Hispanic,4,39923,58805,0.6789,0.6789,
Aug  1 201 - Mar 31 202,08/01/2019 12:00:00 AM,03/31/2020 12:00:00 AM,2020,3,8,2021-03-31,2019-2020,"Asian, Non-Hispanic",5,20589,26624,0.7733,0.7733,
Aug  1 201 - Mar 31 202,08/01/2019 12:00:00 AM,03/31/2020 12:00:00 AM,2020,3,8,2021-03-31,2019-2020,"Other, Non-Hispanic",6,5110,8001,0.6387,0.6387,
Aug  1 201 - Mar 31 202,08/01/2019 12:00:00 AM,03/31/2020 12:00:00 AM,2020,3,8,2021-03-31,2019-2020,Unknown,7,5211,9850,0.529,0.529,
Aug  1 202 - Mar 31 202,08/01/2020 12:00:00 AM,03/31/2021 12:00:00 AM,2021,3,8,2021-03-31,2020-2021,Overall,1,107570,175578,0.6127,0.6127,
Aug  1 202 - Mar 31 202,08/01/2020 12:00:00 AM,03/31/2021 12:00:00 AM,2021,3,8,2021-03-31,2020-2021,"White, Non-Hispanic",2,36744,59986,0.6125,0.6125,
Aug  1 202 - Mar 31 202,08/01/2020 12:00:00 AM,03/31/2021 12:00:00 AM,2021,3,8,2021-03-31,2020-2021,"Black, Non-Hispanic",3,5021,13744,0.3653,0.3653,
Aug  1 202 - Mar 31 202,08/01/2020 12:00:00 AM,03/31/2021 12:00:00 AM,2021,3,8,2021-03-31,2020-2021,Hispanic,4,35964,57225,0.6285,0.6285,
Aug  1 202 - Mar 31 202,08/01/2020 12:00:00 AM,03/31/2021 12:00:00 AM,2021,3,8,2021-03-31,2020-2021,"Asian, Non-Hispanic",5,20104,26157,0.7686,0.7686,
Aug  1 202 - Mar 31 202,08/01/2020 12:00:00 AM,03/31/2021 12:00:00 AM,2021,3,8,2021-03-31,2020-2021,"Other, Non-Hispanic",6,4927,8215,0.5998,0.5998,
Aug  1 202 - Mar 31 202,08/01/2020 12:00:00 AM,03/31/2021 12:00:00 AM,2021,3,8,2021-03-31,2020-2021,Unknown,7,4810,10251,0.4692,0.4692,
Aug  1 202 - Dec 31 202,08/01/2021 12:00:00 AM,12/31/2021 12:00:00 AM,2021,12,5,2022-03-26,2021-2022,Overall,1,83776,170084,0.4926,0.4926,
Aug  1 202 - Dec 31 202,08/01/2021 12:00:00 AM,12/31/2021 12:00:00 AM,2021,12,5,2022-03-26,2021-2022,"Asian, Non-Hispanic",2,16739,25281,0.6621,0.6621,
Aug  1 202 - Dec 31 202,08/01/2021 12:00:00 AM,12/31/2021 12:00:00 AM,2021,12,5,2022-03-26,2021-2022,"Black, Non-Hispanic",3,3701,13439,0.2754,0.2754,
Aug  1 202 - Dec 31 202,08/01/2021 12:00:00 AM,12/31/2021 12:00:00 AM,2021,12,5,2022-03-26,2021-2022,Hispanic,4,27808,58789,0.473,0.473,
Aug  1 202 - Dec 31 202,08/01/2021 12:00:00 AM,12/31/2021 12:00:00 AM,2021,12,5,2022-03-26,2021-2022,"Other, Non-Hispanic",5,3690,7702,0.4791,0.4791,
Aug  1 202 - Dec 31 202,08/01/2021 12:00:00 AM,12/31/2021 12:00:00 AM,2021,12,5,2022-03-26,2021-2022,Unknown,6,3919,9887,0.3964,0.3964,
Aug  1 202 - Dec 31 202,08/01/2021 12:00:00 AM,12/31/2021 12:00:00 AM,2021,12,5,2022-03-26,2021-2022,"White, Non-Hispanic",7,27919,54986,0.5077,0.5077,
